timestamp,month,day,external-temperature,longitude,latitude,id
2007-03-13 16:01:42,3,13,6.8,11.0490917,46.0089245,original
2007-03-13 12:03:07,3,13,5.5,11.0468853,46.0076697,original
2007-03-13 08:01:23,3,13,3.1,11.0466303,46.0070315,original
2007-03-13 04:00:54,3,13,1.9,11.0445653,46.0119796,original
2007-03-13 00:01:47,3,13,1.1,11.0441445,46.0121738,original
2007-03-12 20:01:54,3,12,3.7,11.048496,46.010686,original
2007-03-12 16:01:17,3,12,4.7,11.0538854,46.0074625,original
2007-03-12 12:01:49,3,12,2.9,11.0518031,46.0095949,original
2007-03-12 08:02:26,3,12,0.2,11.0478108,46.0075087,original
2007-03-12 04:00:52,3,12,-0.3,11.0423929,46.0125527,original
2007-03-12 00:02:18,3,12,-0.1,11.0206828,46.0075079,original
2007-03-11 20:01:48,3,11,0.8,11.0146798,46.0066085,original
2007-03-11 16:01:11,3,11,0.7,11.0019305,46.0066114,original
2007-03-11 12:01:55,3,11,-4.0,11.0018435,46.0076856,original
2007-03-11 08:02:39,3,11,-7.0,11.0011279,46.0070039,original
2007-03-11 04:01:47,3,11,-7.5,11.0000332,46.0081094,original
2007-03-11 00:02:15,3,11,11.1,11.0004187,46.0076273,original
2007-03-10 20:01:52,3,10,-3.9,10.9979725,46.0084296,original
2007-03-10 16:02:12,3,10,-1.4,10.9989349,46.008383,original
2007-03-10 12:03:04,3,10,-1.3,11.000317893877837,46.00808713613469,original
2007-03-10 08:03:04,3,10,-4.4,11.0017059,46.0077902,original
2007-03-10 04:01:24,3,10,-4.4,11.0011585,46.0078869,original
2007-03-10 00:02:19,3,10,-2.4,11.0010167,46.0083752,original
2007-03-09 20:01:47,3,9,0.9,11.000251,46.0086882,original
2007-03-09 16:01:54,3,9,1.9,11.0004831,46.007066,original
2007-03-09 12:03:03,3,9,0.0,11.0006687,46.0063524,original
2007-03-09 08:02:18,3,9,-4.8,11.0016464,46.0080644,original
2007-03-09 04:01:52,3,9,-4.4,10.9988311,46.0090364,original
2007-03-09 00:01:34,3,9,-3.4,10.9964478,46.0082993,original
2007-03-08 20:01:18,3,8,-1.4,11.0063465,46.006537,original
